p1a_1,p1a_2,p1a_3,p1a_4,p1a_5,p1a_6,p1a_7,p1a_8,p1a_9,p1a_10,p1a_11,p1a_12,p1a_13,p1a_14,p1a_15,p1a_16,p1a_17,p1a_18,p1a_19,p1a_20,p1a_21,p1a_22,p17_1,p17_4,sexo,edad_1,escol,cond_act,h21_1,Tam_loc,ing_fam,Pondi2,estrato
3,3,3,3,3,3,2,2,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,2,1,5,4,1,2,1,5,10716,11
3,3,3,3,3,3,3,2,3,3,3,1,3,3,3,2,3,3,3,3,3,3,1,1,1,3,5,1,1,1,8,113975,11
3,2,3,1,3,3,3,2,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,2,1,7,2,1,5,1,8,135395,31
3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,1,1,2,6,2,1,7,2,0,13905,12
3,2,3,1,1,3,3,1,3,3,3,1,3,3,2,2,3,3,3,3,3,3,1,1,2,4,3,2,7,2,8,52204,12
2,2,3,2,2,2,3,2,3,3,3,1,3,2,3,2,3,3,3,3,3,3,1,1,2,3,4,2,12,2,3,27704,12
2,2,3,1,2,3,3,2,2,3,3,2,3,3,1,1,3,3,3,3,3,3,1,1,2,4,3,1,7,1,3,81095,21
3,2,2,1,3,3,3,2,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,1,1,3,4,1,6,1,7,73641,31
3,3,3,2,2,2,3,2,3,3,3,1,3,3,2,2,3,3,3,3,3,3,1,2,1,4,3,1,12,2,0,47751,12
3,3,3,3,2,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,1,1,2,6,2,1,7,2,0,9270,12
3,3,3,2,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,1,1,1,2,4,1,2,4,5,57695,14
3,3,3,3,3,3,3,2,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,2,1,2,4,1,1,1,8,57620,31
3,3,3,1,2,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,8,9,1,2,1,4,2,1,9,4,0,100205,44
3,3,3,1,3,3,3,2,3,3,3,2,3,3,3,2,3,3,3,3,3,3,1,1,1,2,2,1,2,3,3,57551,13
3,3,3,2,1,2,3,2,2,3,3,1,3,3,2,2,3,3,3,3,3,3,1,2,1,3,4,1,6,4,5,127504,44
3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,2,1,3,5,1,3,3,8,23888,23
3,3,3,1,2,2,3,2,3,3,3,2,3,3,3,2,3,3,3,3,3,3,1,1,2,5,3,1,5,1,8,22100,31
3,3,3,2,3,3,3,2,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,1,2,4,5,1,1,1,0,8404,31
3,3,3,3,3,2,3,2,3,3,3,2,3,3,3,2,3,3,3,3,3,3,1,1,1,4,3,1,2,2,0,19101,12
3,2,3,3,3,1,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,1,1,7,1,2,-1,1,0,64360,31
3,3,3,1,3,3,3,1,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,2,2,5,2,1,5,1,4,14473,11
3,3,3,2,2,2,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,1,2,5,2,2,-1,2,0,12879,12
3,3,3,2,3,1,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,1,2,6,3,2,-1,1,8,81012,31
3,1,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,7,5,2,-1,1,8,52200,21
3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,2,2,3,5,1,14,1,5,50660,31
3,3,3,2,3,3,3,2,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,1,1,4,5,1,1,1,7,10191,31
